PROJECT_NAME,ID #,UNIT_NAME,DISPLAY_NAME,UNIT_DESCRIPTION,ADDRESS,BUILDING NAME,BLG LATITUDE,BLG LONGITUDE,BLG ALTITUDE,BLG ROTATION,BLG SCALE,BLG MIRROR X,BLG MIRROR Y,BUILDING SECTION,BUILDING_SECTION_HTML_COLOR,UNIQUE_UNIT_ID,FLOOR,ORIENTATION,# BEDROOMS,# BATHROOMS,AREA_M2 ,AREA_SQFT,PRICE,AVAILABILITY,AVAILABILITY_HTML_COLOR,FOR SALE-BOOLEAN,FOR RENT-BOOLEAN,PRIVATE GARDEN-BOOLEAN,FULL VASTU-BOOLEAN,COMBINABLE-BOOLEAN,SERVICE ROOM-BOOLEAN,ENCLOSED KITCHEN-BOOLEAN,OPEN KITCHEN-BOOLEAN,HOME OFFICE-BOOLEAN,DUPLEX-BOOLEAN,MODERN-BOOLEAN,CLASSIC-BOOLEAN,URL,BASE PRICE,ADJUSTED PRICE,Same_Units,LOWRES_FLOORPLANS,HIGHRES_FLOORPLANS,IMG_BUILDING_PLAN,IMG_BUILDING_PLAN2,IMG_INTERIORS,IMG_360,MEDIA,N/A,INDOOR CARPET AREA_M2_MARKETING,OUTDOOR CARPET AREA_M2_MARKETING,INDOOR CARPET AREA_SQFT_MARKETING,OUTDOOR CARPET AREA_SQFT_MARKETING,Entrance Hall_meters_Dimensions,Living_meters_Dimensions,Dining_meters_Dimensions,Kitchen_meters_Dimensions,Office / Library_meters_Dimensions,Bedroom #1_meters_Dimensions,Master Bedroom_meters_Dimensions,Bedroom #2_meters_Dimensions,Bedroom #3_meters_Dimensions,Bedroom #4_meters_Dimensions,Bedroom #5_meters_Dimensions,Bedroom #6_meters_Dimensions,Bathroom #1_meters_Dimensions,Master Bathroom_meters_Dimensions,Bathroom #2_meters_Dimensions,Bathroom #3_meters_Dimensions,Bathroom #4_meters_Dimensions,Bathroom #5_meters_Dimensions,Misc #1_meters_Dimensions,Misc #2_meters_Dimensions,Balcony #1_meters_Dimensions,Balcony #2_meters_Dimensions,Balcony #3_meters_Dimensions,Balcony #4_meters_Dimensions,Balcony #5_meters_Dimensions,Balcony #6_meters_Dimensions,Entrance Hall_feet_Dimensions,Living_feet_Dimensions,Dining_feet_Dimensions,Kitchen_feet_Dimensions,Office / Library_feet_Dimensions,Bedroom #1_feet_Dimensions,Master Bedroom_feet_Dimensions,Bedroom #2_feet_Dimensions,Bedroom #3_feet_Dimensions,Bedroom #4_feet_Dimensions,Bedroom #5_feet_Dimensions,Bedroom #6_feet_Dimensions,Bathroom #1_feet_Dimensions,Master Bathroom_feet_Dimensions,Bathroom #2_feet_Dimensions,Bathroom #3_feet_Dimensions,Bathroom #4_feet_Dimensions,Bathroom #5_feet_Dimensions,Misc #1_feet_Dimensions,Misc #2_feet_Dimensions,Balcony #1_feet_Dimensions,Balcony #2_feet_Dimensions,Balcony #3_feet_Dimensions,Balcony #4_feet_Dimensions,Balcony #5_feet_Dimensions,Balcony #6_feet_Dimensions
San Diego Downtown,1,RETAIL,RETAIL ,,"670 PACIFIC HWY, SAN DIEGO, CA 92101",SENTO RESIDENCES,32.71225,-117.17147,,,,,,RETAIL,#BDB0A3FF,T4-Retail,1 & 2,east,N/A,N/A,490,5274,4990000,AVAILABLE,#FFBC00FF,TRUE,FALSE,FALSE,,,,,,,,TRUE,FALSE,1,0,,N/A,T4-RETAIL_Floorplan.png,T4-RETAIL_Floorplan.png,SENTO_RESIDENCES_1_BlgPlan.png,N/A,T4-RETAIL_Interiors_xx.ext,T4-RETAIL_360_xx.jpg,T4-RETAIL_media_xx.ext,N/A,490,0,5280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,2,RESIDENCES_LOBBY,LOBBY ,,,SENTO RESIDENCES,32.71225,-117.17147,,,,,,AMENITIES,#D06536FF,T4-Lobby,1,east,N/A,N/A,487,5242,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,1,0,,N/A,T4-LOBBY_Floorplan.png,N/A,SENTO_RESIDENCES_1_BlgPlan.png,N/A,T4-LOBBY_Interiors_xx.png,T4-LOBBY_360_xx.jpg,T4-LOBBY_Floormedia,N/A,487,0,5250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,3,CLUB_LOBBY,LOBBY,CLUB LOBBY,"680 PACIFIC HWY, SAN DIEGO, CA 92101",CLUB,32.71201,-117.17171,,,,,,AMENITIES,#D06536FF,Club-Lobby,1 & 2,east & west,N/A,N/A,636,6846,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,1,0,,N/A,CLUB-LOBBY_Floorplan.png,N/A,CLUB_1_BlgPlan.png,N/A,CLUB-LOBBY_Interiors_xx.ext,CLUB-LOBBY_360_xx.jpg,CLUB-LOBBY_media_xx.ext,N/A,636,0,6850,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,4,HOTEL_LOBBY,LOBBY,,,HOTEL,,,,,,,,AMENITIES,#D06536FF,T5-Lobby,1,east,N/A,N/A,225,2422,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,1,0,,N/A,T5-LOBBY_Floorplan.png,N/A,HOTEL_1_BlgPlan.png,N/A,T5-LOBBY_Interiors_xx.ext,T5-LOBBY_360_xx.jpg,T5-LOBBY_media_xx.ext,N/A,225,0,2430,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,5,THEATER,THEATER,THEATER,,CLUB,32.71201,-117.17171,,,,,,AMENITIES,#D06536FF,Club-Theater,2,north,N/A,N/A,128,1378,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,2,0,,N/A,CLUB-THEATER_Floorplan.png,N/A,CLUB_2_BlgPlan.png,N/A,CLUB-THEATER_Interiors_xx.ext,CLUB-THEATER_360_xx.jpg,CLUB-THEATER_media_xx.ext,N/A,128,0,1380,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,6,INDOOR_GAMES,INDOOR GAMES,INDOOR GAMES,,CLUB,32.71201,-117.17171,,,,,,AMENITIES,#D06536FF,Club-games,2,west,N/A,N/A,613,6598,,,,,FALSE,TRUE,,,,,,,,TRUE,FALSE,,0,,N/A,CLUB-GAMES_Floorplan.png,N/A,CLUB_2_BlgPlan.png,N/A,CLUB-GAMES_Interiors_xx.ext,CLUB-GAMES_360_xx.jpg,CLUB-GAMES_media_xx.ext,N/A,510,103,5490,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,7,GYM,GYM,GYM,,CLUB,32.71201,-117.17171,,,,,,AMENITIES,#D06536FF,Club-Gym,2,west,N/A,N/A,2040,21958,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,,0,,N/A,CLUB-GYM_Floorplan.png,N/A,CLUB_2_BlgPlan.png,N/A,CLUB-GYM_Interiors_xx.ext,CLUB-GYM_360_xx.jpg,CLUB-GYM_media_xx.ext,N/A,1984,56,21360,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,8,MULTIPURPOSE_HALL,HALL,,,HOTEL,,,,,,,,AMENITIES,#D06536FF,T5-Hall,2,west & south,N/A,N/A,400,4306,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,,0,,N/A,T5-HALL_Floorplan.png,N/A,HOTEL_2_BlgPlan.png,N/A,T5-HALL_Interiors_xx.ext,T5-HALL_360_xx.jpg,T5-HALL_media_xx.ext,N/A,400,0,4310,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Museum San Diego,9,MUSEUM_TICKETS,MUSEUM TICKETS,,"900 W E ST, SAN DIEGO, CA 92101",MUSEUM,,,,,,,,MUSEUM,#D06536FF,Tickets-Museum,2,North,N/A,N/A,1265,13616,,,,,FALSE,,,,,,,,,TRUE,FALSE,,0,,N/A,TICKETS-MUSEUM_Floorplan.png,N/A,MUSEUM_2_BlgPlan.png,N/A,TICKETS-MUSEUM_Interiors_xx.ext,TICKETS-MUSEUM_360_xx.jpg,TICKETS-MUSEUM_media_xx.ext,N/A,1265,0,13620,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Downtown,10,CLUB_BAR,BAR,BAR,,CLUB,32.71201,-117.17171,,,,,,AMENITIES,#D06536FF,Club-bar,3,north,N/A,N/A,328,3531,,,,,FALSE,FALSE,,,,,,,,TRUE,FALSE,,0,,N/A,CLUB-BAR_Floorplan.png,N/A,CLUB_3_BlgPlan.png,N/A,CLUB-BAR_Interiors_xx.ext,CLUB-BAR_360_xx.jpg,CLUB-BAR_media_xx.ext,N/A,328,0,3540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
